Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
friend 1,4/4/22,4395,3.02,3.02,0,0.06,0.81,2.15,0,1,19,176,709,1886
friend 1,4/5/22,10213,6.88,6.88,0,0.11,0.33,6.44,0,1,9,339,589,2302
friend 1,4/6/22,4744,3.18,3.18,0,0,0,3.18,0,0,0,194,724,1884
friend 1,4/7/22,2229,1.55,1.55,0,0.07,0.33,1.12,0,1,9,58,824,1632
friend 1,4/8/22,8905,6.01,6.01,0,0,0.68,5.31,0,0,18,306,671,2220
friend 2,4/4/22,14019,10.59,10.59,0,0,0.28,10.3,0,0,6,513,921,2865
friend 2,4/5/22,7160,5.4,5.4,0,0,0,5.4,0,0,0,312,702,2225
friend 2,4/6/22,11135,8.41,8.41,0,0,0,8.41,0,0,0,480,425,2606
friend 2,4/7/22,9093,15.01,15.01,0,0.98,0.4,5.62,0,11,19,294,579,4900
friend 2,4/8/22,11008,8.68,8.68,0,0,0,8.68,0,0,0,512,468,2651
friend 3,4/4/22,12058,6.06,6.06,0,1.05,1.75,3.26,0,15,42,183,644,1468
friend 3,4/5/22,10035,6.71,6.71,0,2.03,2.13,2.55,0,31,46,153,754,1495
friend 3,4/6/22,13459,9,9,0,2.03,4,2.97,0,31,83,153,663,1625
friend 3,4/7/22,11664,7.8,7.8,0,0.25,3.73,3.82,0,4,95,214,605,1584
friend 3,4/8/22,11657,7.83,7.83,0,0.2,4.35,3.28,0,2,98,164,845,1554
friend 4,4/4/22,11009,9.1,9.1,0,3.56,0.4,5.14,0,27,8,239,1017,3274
friend 4,4/5/22,10553,8.12,8.12,0,1.1,1.72,5.29,0,19,42,228,696,3083
friend 4,4/6/22,11202,8.61,8.61,0,0.7,2.51,5.39,0,11,48,241,684,3074
friend 4,4/7/22,9603,7.38,7.38,0,0.63,1.67,5.09,0,12,39,199,896,2899
friend 4,4/8/22,83,6.28,6.28,0,2.14,1.26,2.83,0,29,34,209,726,1745
friend 5,4/4/22,6222,4.18,4.18,0,0,0,4.18,0,0,0,290,797,2363
friend 5,4/5/22,3945,2.65,2.65,0,0,0,2.65,0,0,0,225,716,2180
friend 5,4/6/22,2064,1.39,1.39,0,0,0,1.39,0,0,0,121,895,1954
friend 5,4/7/22,4658,3.14,3.14,0,0,0,3.13,0,0,0,226,1106,2196
friend 5,4/8/22,7495,5.18,5.18,0,2.48,0.11,2.58,0,30,2,233,725,2421
friend 6,4/4/22,0,4.72,4.72,0,0,0,4.72,0,0,0,302,1138,2796
friend 6,4/5/22,8198,5.08,5.08,0,0,0,5.08,0,0,0,383,511,1736
friend 6,4/6/22,835,0.52,0.52,0,0,0,0.52,0,0,0,60,1053,1214
friend 6,4/7/22,6097,3.77,3.77,0,0,0,3.77,0,0,0,286,586,1593
friend 6,4/8/22,12167,7.54,7.54,0,0,0,7.54,0,0,0,475,479,1926
