Id,Date,Steps at 12:00:00 AM,Steps at 1:00:00 AM,Steps at 2:00:00 AM,Steps at 3:00:00 AM,Steps at 4:00:00 AM,Steps at 5:00:00 AM,Steps at 6:00:00 AM,Steps at 7:00:00 AM,Steps at 8:00:00 AM,Steps at 9:00:00 AM,Steps at 10:00:00 AM,Steps at 11:00:00 AM,Steps at 12:00:00 PM,Steps at 1:00:00 PM,Steps at 2:00:00 PM,Steps at 3:00:00 PM,Steps at 4:00:00 PM,Steps at 5:00:00 PM,Steps at 6:00:00 PM,Steps at 7:00:00 PM,Steps at 8:00:00 PM,Steps at 9:00:00 PM,Steps at 10:00:00 PM,Steps at 11:00:00 PM,Cal at 12:00:00 AM,Cal at 1:00:00 AM,Cal at 2:00:00 AM,Cal at 3:00:00 AM,Cal at 4:00:00 AM,Cal at5:00:00 AM,Cal at 6:00:00 AM,Cal at 7:00:00 AM,Cal at 8:00:00 AM,Cal at 9:00:00 AM,Cal at 10:00:00 AM,Cal at 11:00:00 AM,Cal at 12:00:00 PM,Cal at 1:00:00 PM,Cal at 2:00:00 PM,Cal at 3:00:00 PM,Cal at 4:00:00 PM,Cal at 5:00:00 PM,Cal at 6:00:00 PM,Cal at 7:00:00 PM,Cal at 8:00:00 PM,Cal at 9:00:00 PM,Cal at 10:00:00 PM,Cal at 11:00:00 PM,Total Intensity at 12:00:00 AM,Total Intensity at 1:00:00 AM,Total Intensity at 2:00:00 AM,Total Intensity at 3:00:00 AM,Total Intensity at 4:00:00 AM,Total Intensity at 5:00:00 AM,Total Intensity at 6:00:00 AM,Total Intensity at 7:00:00 AM,Total Intensity at 8:00:00 AM,Total Intensity at 9:00:00 AM,Total Intensity at 10:00:00 AM,Total Intensity at 11:00:00 AM,Total Intensity at 12:00:00 PM,Total Intensity at 1:00:00 PM,Total Intensity at 2:00:00 PM,Total Intensity at 3:00:00 PM,Total Intensity at 4:00:00 PM,Total Intensity at 5:00:00 PM,Total Intensity at 6:00:00 PM,Total Intensity at 7:00:00 PM,Total Intensity at 8:00:00 PM,Total Intensity at 9:00:00 PM,Total Intensity at 10:00:00 PM,Total Intensity at 11:00:00 PM,Average Intensity at 12:00:00AM,Average Intensity at 1:00:00AM,Average Intensity at 2:00:00AM,Average Intensity at 3:00:00AM,Average Intensity at 4:00:00AM,Average Intensity at 5:00:00AM,Average Intensity at 6:00:00AM,Average Intensity at 7:00:00AM,Average Intensity at 8:00:00AM,Average Intensity at 9:00:00AM,Average Intensity at 10:00:00AM,Average Intensity at 11:00:00AM,Average Intensity at 12:00:00PM,Average Intensity at 1:00:00PM,Average Intensity at 2:00:00PM,Average Intensity at 3:00:00PM,Average Intensity at 4:00:00PM,Average Intensity at 5:00:00PM,Average Intensity at 6:00:00PM,Average Intensity at 7:00:00PM,Average Intensity at 8:00:00PM,Average Intensity at 9:00:00PM,Average Intensity at 10:00:00PM,Average Intensity at 11:00:00PM
friend 1,4/4/22,5,0,0,0,0,18,0,10,1472,120,4,480,374,82,100,110,541,123,234,105,120,212,285,0,63,61,61,60,61,62,61,60,160,72,63,96,91,72,76,73,124,84,87,72,79,81,108,61,1,0,0,0,0,1,0,1,49,5,1,19,17,6,8,6,35,11,12,6,10,9,22,0,0.016667,0,0,0,0,0.016667,0,0.016667,0.816667,0.083333,0.016667,0.316667,0.283333,0.1,0.133333,0.1,0.5,0.183333,0.233333,0.116667,0.166667,0.15,0.366667,0
friend 1,4/5/22,0,0,0,0,9,19,0,0,160,346,1620,764,1029,302,155,220,724,1154,720,972,893,63,889,174,61,61,61,61,63,64,61,61,85,93,175,124,145,95,87,91,114,145,113,128,125,73,133,80,0,0,0,0,1,2,0,0,13,15,52,27,36,16,15,15,22,34,22,22,24,5,29,10,0,0,0,0,0.016667,0.033333,0,0,0.216667,0.25,0.866667,0.45,0.6,0.266667,0.25,0.25,0.366667,0.566667,0.366667,0.366667,0.4,0.083333,0.483333,0.166667
friend 1,4/6/22,67,0,0,11,0,0,10,0,0,419,724,873,749,446,263,1170,0,12,0,0,0,0,0,0,66,61,61,62,61,61,63,61,61,101,129,132,114,109,98,153,63,64,61,61,61,61,61,61,2,0,0,1,0,0,1,0,0,20,33,31,21,24,20,40,0,1,0,0,0,0,0,0,0.033333,0,0,0.016667,0,0,0.016667,0,0,0.333333,0.55,0.516667,0.35,0.4,0.333333,0.666667,0,0.016667,0,0,0,0,0,0
friend 1,4/7/22,0,0,0,0,0,16,0,0,206,27,1756,152,0,0,0,0,0,0,13,0,0,0,51,8,61,61,61,61,61,62,61,61,82,65,184,76,61,61,61,61,61,61,63,61,61,61,67,62,0,0,0,0,0,1,0,0,9,2,55,7,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0.016667,0,0,0.15,0.033333,0.916667,0.116667,0,0,0,0,0,0,0.016667,0,0,0,0.05,0.016667
friend 1,4/8/22,0,0,2,0,0,0,8,581,93,445,1114,782,1715,253,182,781,500,501,592,948,76,182,150,0,61,61,63,61,61,61,62,106,69,107,135,125,166,90,87,137,117,110,108,134,75,80,78,61,0,0,1,0,0,0,1,18,3,23,24,27,55,16,13,38,29,24,20,28,7,8,7,0,0,0,0.016667,0,0,0,0.016667,0.3,0.05,0.383333,0.4,0.45,0.916667,0.266667,0.216667,0.633333,0.483333,0.4,0.333333,0.466667,0.116667,0.133333,0.116667,0
friend 2,4/4/22,0,0,0,0,0,0,0,0,0,0,0,1201,2175,1020,1000,831,1427,1313,1195,1277,1523,550,190,317,62,62,62,62,62,62,62,62,62,62,62,148,205,172,174,173,193,213,184,185,218,127,82,105,0,0,0,0,0,0,0,0,0,0,0,25,51,51,43,45,46,55,48,49,56,26,8,22,0,0,0,0,0,0,0,0,0,0,0,0.416667,0.85,0.85,0.716667,0.75,0.766667,0.916667,0.8,0.816667,0.933333,0.433333,0.133333,0.366667
friend 2,4/5/22,168,673,17,184,0,7,1,0,165,178,82,270,172,1773,434,367,0,913,498,30,10,723,495,0,95,122,72,80,64,68,65,64,86,80,73,92,101,192,111,107,62,147,109,69,65,129,110,62,13,22,3,9,0,1,0,0,10,8,6,15,18,45,22,21,0,40,21,3,1,31,23,0,0.216667,0.366667,0.05,0.15,0,0.016667,0,0,0.166667,0.133333,0.1,0.25,0.3,0.75,0.366667,0.35,0,0.666667,0.35,0.05,0.016667,0.516667,0.383333,0
friend 2,4/6/22,0,4,0,7,0,0,0,0,521,361,933,908,316,615,902,800,1148,1202,841,1063,739,264,174,337,63,64,62,64,63,63,63,63,117,102,147,131,101,133,145,155,166,171,154,171,145,91,81,89,0,1,0,1,0,0,0,0,24,16,35,29,19,33,38,42,41,44,42,50,35,11,8,11,0,0.016667,0,0.016667,0,0,0,0,0.4,0.266667,0.583333,0.483333,0.316667,0.55,0.633333,0.7,0.683333,0.733333,0.7,0.833333,0.583333,0.183333,0.133333,0.183333
friend 2,4/7/22,0,10,0,0,0,0,0,23,15,550,1798,0,1122,1240,999,807,149,100,824,744,49,411,152,100,63,64,63,63,63,63,64,65,64,113,194,67,147,159,142,139,83,80,191,142,74,99,86,77,0,1,0,0,0,0,0,2,1,24,59,0,30,37,30,33,8,6,61,39,3,15,9,7,0,0.016667,0,0,0,0,0,0.033333,0.016667,0.4,0.983333,0,0.5,0.616667,0.5,0.55,0.133333,0.1,1.016667,0.65,0.05,0.25,0.15,0.116667
friend 2,4/8/22,8,0,165,9,0,0,3,145,54,1023,837,1042,878,957,820,1045,977,1210,662,77,472,30,39,555,64,63,77,66,63,62,63,81,114,164,151,163,161,145,155,158,151,170,130,82,113,71,73,115,1,0,6,1,0,0,0,9,22,47,44,46,46,34,45,42,38,50,29,7,20,3,4,18,0.016667,0,0.1,0.016667,0,0,0,0.15,0.366667,0.783333,0.733333,0.766667,0.766667,0.566667,0.75,0.7,0.633333,0.833333,0.483333,0.116667,0.333333,0.05,0.066667,0.3
